Collision altitude [m],#Fragments [-],T_0 [days],SC Altitude Offset [m],Target Fraction [-],FoV [deg],Range [m],Incidence Angle [deg],Ablation Time [s],Scan Time [s],Cooldown Time [s],Fluence [J/m^2],Removal Altitude [m],Time Required [days],Fraction removed [-]
789000,100000,5,30000,0.5,38.44,300000,20,70,5,70,8500,340000,79.29635417,0.500021653
789000,100000,5,30000,0.5,38.44,300000,20,60,5,70,8500,340000,71.72332176,0.500021653
789000,100000,5,30000,0.5,38.44,300000,20,50,5,70,8500,340000,70.0625,0.500021653
789000,100000,5,30000,0.5,38.44,300000,20,40,5,70,8500,340000,77.02633102,0.500021653
789000,100000,5,30000,0.5,38.44,300000,20,30,5,70,8500,340000,580.7763889,0.500021653
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,250000.0,20.0,70.0,5.0,70.0,8500.0,340000.0,724.9993055555556,0.4745571867827292
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,250000.0,20.0,60.0,5.0,70.0,8500.0,340000.0,724.9994791666667,0.48495084665021004
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,250000.0,20.0,50.0,5.0,70.0,8500.0,340000.0,724.9993634259259,0.490883894157897
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,300000.0,20.0,80.0,5.0,70.0,8500.0,340000.0,100.79739583333334,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,250000.0,20.0,80.0,5.0,70.0,8500.0,340000.0,724.9997106481482,0.4629942401801568
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,200000.0,20.0,50.0,5.0,70.0,8500.0,340000.0,724.9994791666667,0.41808496816941665
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,300000.0,20.0,90.0,5.0,70.0,8500.0,340000.0,574.3394675925925,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,300000.0,20.0,85.0,5.0,70.0,8500.0,340000.0,175.39085648148148,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,300000.0,20.0,35.0,5.0,70.0,8500.0,340000.0,119.92673611111111,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,290000.0,20.0,85.0,5.0,70.0,8500.0,340000.0,645.084837962963,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,290000.0,20.0,80.0,5.0,70.0,8500.0,340000.0,243.4912037037037,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,290000.0,20.0,70.0,5.0,70.0,8500.0,340000.0,105.48101851851852,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,290000.0,20.0,60.0,5.0,70.0,8500.0,340000.0,81.06666666666666,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,290000.0,20.0,50.0,5.0,70.0,8500.0,340000.0,78.1546875,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,290000.0,20.0,40.0,5.0,70.0,8500.0,340000.0,95.6619212962963,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,290000.0,20.0,35.0,5.0,70.0,8500.0,340000.0,224.23391203703704,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,280000.0,20.0,80.0,5.0,70.0,8500.0,340000.0,693.4590277777778,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,280000.0,20.0,70.0,5.0,70.0,8500.0,340000.0,288.279224537037,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,280000.0,20.0,60.0,5.0,70.0,8500.0,340000.0,109.14184027777777,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,280000.0,20.0,50.0,5.0,70.0,8500.0,340000.0,103.63587962962963,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,280000.0,20.0,40.0,5.0,70.0,8500.0,340000.0,156.15734953703705,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,270000.0,20.0,75.0,5.0,70.0,8500.0,340000.0,724.9998842592593,0.49374215062145427
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,270000.0,20.0,70.0,5.0,70.0,8500.0,340000.0,719.8654513888889,0.5000216534580573
